	sentiment	content 
18596	worry	Today was good but some people have friday attitudes...not good
18598	neutral	@graciep I have to agree, why didn't I get that when I was out.
18599	hate	@DJLisaFoxx Ouch. I used to hate it when I did that  (And then there are the irate callers who were trying to record, getting p***ed, etc)
18600	worry	My poor little 7mth old was taken to hospital yesterday. We are syringe feeding him at home because he doesn't want to drink.
18601	worry	Gah... why is my Macbook Pro getting so frickin' hot just sitting on the table doing nothing?
18602	hate	Ugh! Plane delayed due to weather!  Stuck with another hour to kill.  http://twitpic.com/67xs0
18603	worry	oh no.... please... dont do that to yourself again
18604	sadness	damn...plans were canceled.....another friday night at home
18605	worry	wow, 5 pm rolled around really fast. I accomplished only one thing on my to do list today...
18606	sadness	just goy back from a day of tests at the hospital. going to start chemo on monday
18607	sadness	cant believe ER is all over
18608	sadness	wants to go see street dreams but it's not playing anywhere near here
18609	worry	"@DSTheStar1121	REALLY?? oh.. sorry yall  lol"
18610	neutral	Off to my lil sisters  graduation...they grow up so quick
18611	worry	My saying now  http://bctiny.com/po4me
18612	sadness	There is a MacBook Pro sitting close by and my poor MacBook is ashamed with it's plastic face and sides...
18613	worry	@xx_Megan_xx Thats all i've seen too   5 till 7 is the 2 hours I normally sleep so I missed it :mad: haha
18616	sadness	Big Sad Face   Bing doesn't work on iPhone.  It just takes you to the regular mobile Live search.
18617	sadness	@natbubba yeah, totally unfair.  we should just. FLAME THEM EVERYWHERE
18619	worry	I'm so freaking afraid that once again I've managed to stick my foot in my mouth and scare yet another person off . . .
18621	empty	He put a fuckin mohawk in my son head.....he just killed my vibe as always
18622	neutral	@DJFREEZY ummm not with me?
18623	worry	going 2 watch Dogtown, hope it's not too sad!
18624	hate	In pain,, poor me, I HATE THE SUN
18626	worry	Just found out that Anne's brother died unexpectedly - he was only 44.  Warm thoughts going out to her family...
18627	love	i wanna move back to Pennsylvania
18629	sadness	well movie night spoilt by fracked up disk-happiness gone, so time for sleep
18630	sadness	@TheStoryStarts nothing aimed at you, just joining in...sorry
18631	sadness	@theREALGiftedNJ yeah it is
18632	neutral	@jeangrae whyd u feel awful after last night?
18633	happiness	night night twits! im so glad I will be waking up to a saturday off work!! printer has broke though
18634	worry	Is in bed not able to sleep  bloody bipolar!
18636	empty	sitting down doing nothing after being stuck in the house for 4days i had all intentions of doing something but it never works out
18637	worry	i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...
18640	worry	@Haunt1013 Sorry RB is on PS3 for me
18641	sadness	Thank you Google for your Adsense Payment.  If only the Aussie dollar wasn't as strong
18642	neutral	just had dinner with scoop and said goodbye before our senior trips
18644	worry	@Cowbelly I really want to!! But it's one of my few free weekends that month and am booking clients  Mama needs to make money.
18645	sadness	@mpellegrini hurts to be you! Sunshine all weekend and you don't get to play. That's sad.
18646	sadness	Has been a long day - Matinee and evening show. Will be sad tomorrow: last ever Welsh College show
18648	neutral	http://twitpic.com/67xv3 - Former Pawnshop were Jimi Hendrix got his 1st guitar, Seattle. Now a check cashing joint
18650	relief	super frustrated, and taking it out on the one's I love!   I love you, Paul!
18651	worry	Grass fed beef burgers with sauteed mushrooms and cheddar on wheat buns along with a salad. Yum. Poor Kim still isn't feeling well
18652	worry	Still sick  bout to play some ps3 till the laker game starts
18653	worry	i will be without an assistant for the next week
18654	worry	Startin to get a head ache!!!! Uuuggghh!!!
18656	worry	I don't want to sit at home on prom night. Someone hang out with me
18660	worry	@dorr did some research, but couldn't find the specific thing which i wanna do with this drive's autorun
18662	empty	Sad babies make for angsty writing
18663	sadness	my ipod died  not running until it is charged.
18664	neutral	@lostalone So wish we could all be there
18665	neutral	Homework &amp; Study Guides
18666	neutral	time for bed up in 6 hours
18668	love	I need a nap, but I won't be getting one
18669	worry	@hookedonheat what was it? I missed it.
18670	hate	@Zaraa_x ah that's annoying
18671	surprise	@ClareHeartsMAC can u add ur link. I can't find u on YouTube.
18672	happiness	going away party at ambers  road trip tomorrow!
18673	worry	@lomara It was a lot of stress, though, so with that and supporting two big families he never quit smoking and died of lung cancer at 51.
18674	hate	I spoke too soon, a nasty thunderstorm just came out of nowhere..I got soaked making a quick run to the store!!
18676	surprise	Just found out that they are running a lil behind.
18677	worry	zzzzz.. best friend going to europe in a few hours  .. i'm gonna miss her! hope she has fun though
18679	neutral	@donnaml40160 I haven't started packing
18680	sadness	@superstarnikki its just one of those days....
18681	worry	@Lindsay_007 so I tried to send you a direct message and I can't because you aren't following me
18682	worry	@ermadea sorry about your sadness   nitenite love
18683	worry	back home from shopping. putting stuff away and waiting for nets friend to come over. I guess I'll have to put my pants back on
18686	neutral	@MelanieNugent Oh damn Im sorry!!  I have been so good not adding spoilers cause @blayze316 will be watching it later!
18688	fun	City Dippin iz u fun, so much eye candy out here...I remember y I miss  LOL
18690	neutral	@xxigetwet Sher is good. There were quite a few people that we didn't even get to see, due to me having court and rushing to see fam.
18691	happiness	Weekends are Great....if you don't have to work them.
18692	relief	i was so bored i decided to iron all my baju sklh. thn i realized i hate doing tht. so all i did was iron a sleeve HAHAHA. im off to schl
18693	sadness	@EP31 I have that problem with adult shirts too. It's so annoying since a lot of adult player shirts don't come in kid sizes
18694	hate	@FallenStar1 Get out.
18695	worry	Wake Up..... Please.
18696	worry	@gawhatafeeling Ooooh, I'm jealous  I might try and get some for the saturday but I have an exam on the monday that Im gonna fail
18697	empty	@wwsiv  I got it in math and ss only
18698	hate	Hey @jerrymontano!  @secrettweet is mainly depressing!  It's all these people who are cheating or don't love each other anymore
18700	sadness	Looks like my Twitter is down
18701	sadness	@mitchelmusso i can't call you cause my portable sais that this number not excist  i want so much to talk to you
18702	worry	@moozmum aw i'm sorry  i was rooting for you just to let you know!
18703	love	@mralphafreak seems like working.. rofl - sadly money is not growing on a tree
18704	worry	Fender is hiding under the couch ... he knows I'm getting ready to leave and he isn't happy about it
18706	sadness	i going to go to bed &amp; i failed miserably at booking a holiday  although i do seem to have a new follower. HIGH FIVE. X
18708	sadness	@mannyishere awww hes too cute!!wish i could've gone
18709	worry	Trying to go to sleep but no luck  I think i'm sick... =S
18710	love	last few hours in singapore!!  i don't want to leave!!!!!
18711	worry	@mathewsanders Floor mopping sounds unappealing
18713	neutral	@MilaXX don't go to logan square we're pretty sure the shirt isn't there  1 more philly local tmrw
18715	worry	today was such a horrible dayy
18716	sadness	@fizzythoughts  Boo for being at work during #beatwittyparty but at least you're still here!
18718	hate	Sometimes black girls just piss me off like a mother fucker!
18719	worry	@killerannax oh no!  i'm sorry. at least you'll still be able to buy regular tickets and not worry about limits?
18721	worry	@sullivancc14 haha I really don't but I'm going to this workshop at school next week. Are you going? Plus my car is broken right now
18722	love	@lindyhot lol.. usually i always do.. not bn too well tho  how old r ur kids?
18723	worry	Things that happened today:  My younger brother ran over one of our dogs. Yeah. I know.  She's going to have surgery this weekend.
18726	sadness	@stacyday Yeah, Trimet says it's a 1hr trip, I get home at 6:30/6:45-ish, so we'd arrive just as everyone was leaving.
18727	love	@penny2dear right my fellow fluffy flasher! I must go to bed, sorry  I hope everything is working properly 2moro and we can chat! love u x
18728	enthusiasm	@dnbchik ohhh that cant be very fun    but hell you manned it up!!   looks like you got some shit done today!!
18730	worry	my head hurts....
18731	love	@isabelauribeee that's not good to hear!  i hope everything is fine..i will keep you &amp; your family in prayer! I LOVE YOU ISABELA URIBE
18732	hate	@c0oki3 u think u have bills Ha!Ii just finished paying mine that's y I'm broke
18733	neutral	Just saw the Toy Story 3 trailer! It's about to get EPIC! Woody taking L's once again
18734	happiness	Writers:&quot;They just make me wonder,why are you foisting all the little pipe dreams stories in your head onto other people?&quot; I like writing
18735	love	@fattireale75 cup cakes are sooo yummy - but would have 2 have coffee chaser- u know where that can lead
18736	worry	is on allegra, flonase and a steroid inhaler for the rest of the allergy season. throat still hurts from the asthma
18737	worry	I wish I had more followers on twitter
18738	love	I suck dick
18739	hate	o damn i just accidentally listened to rick ross
18740	hate	We bought a pool instead of going to California. Now the pool is broken and we have wasted our vacation money for the next 2-3 years.
18741	sadness	@retrodiva I WISH I could be in bed by nine once in a while. I never make it in before 3-4 a.m.  #sleepdeprived. Doing too much.
18742	neutral	Idk yet!!! @Jersey_Gyrl I wanna go soon tho...but I want more tweeps to be there
18743	worry	is spending her Saturday morning taking notes for a research essay because some stupid whore recalled the book I'm using. Not fair
18744	hate	And I want you to shut the fuck up.... I really hate living with my step dad. =-\ I can't wait to move out...
18745	neutral	@manthigh81 I didn't watch it
18746	love	oh i hate the rain... and septa... and leaving my dog
18747	sadness	@gasfreecommute -i'd love to be able to bike/bus/walk to work, but it isn't safe in my area
18748	worry	STILL NOT DONE WITH PAYROLL. was supposed to be off at 4:30. i have a headache
18749	fun	I'll probably have better photos up later today. Took some picks with my big camera too. Camera phone = blury camera
18750	sadness	@selenagomez AWWWW  we're gonna miss you!
18751	sadness	I feel sorry for my bestie  good luck ali!
18752	fun	Dayum, tweets r coming fast, so likely missing a lot.    Plz DM, k?  Oh, is @rod_stewart 4 real?
18753	neutral	@MathieuTO My neighbour is fond of loud Nickelback.
18754	worry	zoombezi bay was soooo fun!! buuuut my legs are soooooo sunburnt
18756	neutral	@caitlinjoneill that's why you are visiting alllllll the time next year.. It will never be the same though
18758	sadness	jungle book 2 is sooooo cute.. i have nothing to eat or drink
18760	sadness	@Crimsondreamer no bueno.  hollykins needs to feel better asap.  p.s. i miss you.  you done with uni soon aren't you?  SOPROUDOFYOU.
18761	happiness	the plan was to take a nap (yea I'm still feeling last night) then go watch lakers game smwhere fun. looking like no nap
18763	relief	@strawbleu Sounds like a useful tip, I most certainly need some stability after this week
18764	neutral	@DougBenson  NO YOU ARE EVIL I WANT ONE!!   #flaxandfiberfriday
18765	neutral	HEY GUYS IT'S WORKING NO NEED TO WORRY. i have tooo many followers tho ...
18766	worry	at my lil sis 8th grade graduation....i already kno dis is gonna last all my life
18767	worry	@ehuffty i can't believe i missed the brewcast.
18768	worry	Oh my Lord, I have no idea if any of this crap I spout is getting to anyone
18769	sadness	@FLucio I'm a jerk...  now I can't go out    Dammit Frank, why do I suck so bad?
18770	worry	Looks like I got a defective MacBook
18771	worry	@PeterPolaco signin autographs would be boring I think! Get wasted 2nite! Have fun! I'm stuck at work
18772	worry	@hardertospell why don't you have that song you gave me that song
18773	worry	my car is broke
18774	sadness	Aw, Zach wasn't feeling well  Hope he gets better. So babysitting was canceled.
18775	love	@CirqueLasVegas 2nd ticket has to be for the same show, though, right?  No good for a solo traveler to Vegas.
18777	love	@selenagomez aww, we will miss you.  At least you get to go home right?
18778	neutral	@AvaAmnesia  but then you won't see Her hotness much either
18781	hate	@TJmodeling That sucks majorly...hhhmmmnnn...I'm thinking...I would've said the self tanner or a really good concealer...I'm stuck
18782	sadness	@AwkwardTown fuck! I'm already thinking about all the shows I'm going to have to miss because I'm broke.
18783	worry	sooo im 20 n im just now findin out i have asthma
18786	neutral	really wants to go see the script in NY in august... but no one will go with me
18788	worry	@knw3 I watched it all online. http://www.musicistheheartofoursoul.com/search/label/Niptuck has the last 8 episodes of S5
18789	worry	@Mszjai nvm i just got ur message that ur sick
18790	worry	Last Heroes ep until Sept  Sick &amp; drugged for past 3 days. Dr says lacking in everything, esp -get this- SUNSHINE.
18791	neutral	ToonTown is down
18792	sadness	@dougreport how can I read the Floyd article says it's private
18793	worry	Love how my printer decided to print all my blacks all marbled - 1hr before an interview for new work this morning.
18794	neutral	wants to sign up for the Germany field trip pero no tengo dinero.
18795	sadness	is confused &amp; sad. oh no here comes the &quot;sweets&quot;, to cheer me up
18797	sadness	tonights been boring!
18798	sadness	Am I old? Pub kickin out time is whey too late, I'm stinkered:-/. Got the cubs tomorrow too  I'm gonna suffer !
18799	worry	noone wants to talk to me  lol
18800	surprise	@jackbox noooooo! I just spent two days getting that damn song OUT of my head
18801	sadness	i so can't be bothered working tomorrow!
18802	worry	@mneylon I don't know what that means, sorry
18803	happiness	I need a bear hug  and Im going to camp today!!
18804	worry	awake sadly        seeing Leon today !
18805	empty	dont wanna cry  but the seniors are out there graduating&amp;its breakin my heart;but im home
18807	neutral	I think I might throw up... I only could eat half of my ice cream cone  http://twitpic.com/67ybk
18808	neutral	@maniactive I'm thinking the &quot;Chevrolet Doom&quot; would be fitting for GM
18809	love	Rachel Alexandra not in Belmont   but appearing in Vogue.  Best looking model they've had in years.
18810	neutral	this has been a pretty shitty week. minus seeing @marktheescape. where is that muscle relaxer i need?
18813	empty	had to rumage around topless in the freezer to find something to eat, all I found was a suspect pizza
18814	hate	College work sucks so much!
18815	worry	Too tired
18816	sadness	It's friday and I'd love to party, but don't have a sitter.
18817	sadness	Waiting for the Denver game to come on.. but i dont think their gonna win it  Lakers suck lol :p
18818	worry	#myweawkness chocolate...i can't say no
18820	worry	just woke up still fukin sick
18821	surprise	@RaleighWood Raj wasn't on the list.  So Scoop or Bandit.
18822	happiness	@bkkrakora ew, i used to get &quot;suicides&quot; in high school and mix like 5 sodas together. then drink it. i think i remember enjoying it, too.
18823	neutral	@Peter5tewart yeah.. I left cause my pc can't run the client anymore. I had thought I would have a new one by now..
18824	worry	sigh, my sisters bein strange.. she came all the way from copenhagen to london, and now her phones turned off.. i wanna see her dammit
18825	worry	@laurenbreslin aww i know its my addiction!   awww i know sameee  !  its just more more more !
18826	neutral	@tristanhilliard oh nos, what happened
18827	worry	@SaraJayXXX OMG .. my memory must have failed me! Very weird since I do not normally forget because of my profession!
18828	sadness	Cleaned four bathrooms this afternoon....(yes, go ahead and feel sorry for me...lol)....mine are still waiting for my attention
18829	worry	@SweetThang15 Aww  Yeah I feel you. I know its hard.
18830	sadness	@ev I'm trying really hard not to hate you.
18831	worry	@torie007 yeah, and now you live in the 'hood! I never would have thunk it  What's up with these shootings in Belmont Shore?? Sheesh.
18832	sadness	Booo my best friend is leavin for the weekend. What ever will I do without her??
18833	empty	@dressjunkie don't i know it! i live in the middle of nowhere, my house is spider central
18835	sadness	@triniaguirre i miss you  !!!! ??
18836	worry	stopped at the store to pick up some items and debit card is missing
18837	sadness	confused, angry, anxious and on top of everything LONELY
18838	surprise	@nickyvender Nicky, I LAND at 10pm, it will be like 10:40 before I get home! UGH! Wont be any fish fry left for me anyways
18839	worry	help! anyone know if there are stores that carry blackberry trackballs? just went to verizon retailer; no luck. do not want to order one
18840	neutral	@zzerbe i'm on twitter! go me. i have no idea how to work it.
18841	worry	taking Willy to the specialist...poor dog! He has to get a CT scan cos he can't walk properly atm
18842	worry	@tmjassociation y does it hurt so much? i can't even chew gum.  i've lost so much weight because i can't even eat
18843	neutral	nothing to do this evening.. MISSING LIFESTORY
18846	worry	@RealGrace my @Bonnaroo tix are in limbo....as usual  #UPSsucks
18847	neutral	@bkkrakora ew, i used to get &quot;suicides&quot; in mid. school and mix like 5 sodas together. then drink it. i think i remember enjoying it, too.
18849	worry	At subway. Not feeling good
18850	hate	@DrPostALot  sucks
18851	anger	too sick for rigging tomorrow.
18852	sadness	i miss him  ALOT but im not gonna talk to him, i HOPE
18854	sadness	Why are embossers so expensive? Can I do get one on the cheap? Trying to save 75%. Papersource order goes in TONIGHT. Sry bank account
18856	sadness	Grandma Caminker passed away today.  She will be missed, but may she rest in peace.
18857	neutral	@love_ly We need to hang out!
18858	neutral	taking a break from sewing to do some dishes
18859	worry	Too many cocktails last night, my head hurts
18860	sadness	UGH. why is it so hard to upload a picture on twitter?
18861	fun	@MariaV_ST vaca!! buuu sigo en el work
18862	fun	@JammieAdams No you are not having my favorite drink without me  lol
18864	surprise	@heartsnsparkles she is that's why she never speaks to me in college i think  .....i might just stick to unzela...if hashim dosnt shoot me
18865	worry	Is losing money in Vegas...
18866	sadness	Sh t, I'm getting even more sad. I'm currently at the library and j think it'll be the last one tooooo
18869	worry	Why isnt my internet working
18872	worry	@shereemcfly09 ooh thats an early start  ive got bed planned for that time..ha..LoveYouJonesy XxX
18873	worry	So sad that Aki is out for the rest of the season!
18874	sadness	upset.. friday night crying!
18875	neutral	@JennyLouis_420 why baby?
18876	worry	Wishing I could see N*E*R*D headline @ Fest at DePaul tonight
18877	relief	I need words of inspiration  where's @iamdiddy and @RevRunWisdom when you need them??
18878	worry	wants to go home and see Erin
18879	worry	I have no one to go to the spring show with
18881	neutral	@kearycolbert june 15, 1995, chino hills, CA. The 1 day it rained n june in SoCal...we had an outside grad; had 2 move it 2 the gym
18882	neutral	I'm grounded til tomorrow. Sorry to anyone I made plans with.  It'll have to be tomorrow. (annoyed) http://plurk.com/p/x332r
18883	hate	@ForrestTheCat awww, I hates it wen families are brokun up by humuns. Maybee you see him agin wun day.
18884	worry	@BonjourHoney Guilt trips, feeling sick, pressure. stress and too much drama
18886	neutral	Someone fly me to Reno
18887	neutral	lumiere is not impressed with my cuddling. but then again, who is  http://sml.vg/jL0kI1
18889	neutral	@thehar just got Zion tweet
18890	worry	Working too hard.    At least graduations are over.
18891	worry	just said goodbye to the younger bro.  #misshimalready
18892	sadness	@Mattshiloh Unfortunately your fix didn't work..   Oh well, I'm lovin' me some PeopleBrowsr anyways!
18893	hate	@BraveMaiden I don't get as much time here either. It's going to get worse now that the girls r home for summer.  It stinks.
18894	worry	@nicolacrossley. Tickets, i need my tickets, where are my tickets. i want my ticketttttss
18896	surprise	.@aragornrain: no health insurance is not an option.
18897	hate	when i fell on my ass today i ripped my blue volcom boxers
18898	happiness	@Linooo Ahhh!  I knowww! I saw it May 5th and 6th in Newcastle and it was so good!!! I'm soo excited for 6th June, as its my bday aswell!
18899	worry	i fear the spaceship is not long for this earth. it just stranded me and edwin on the highway. there was smoke
18900	surprise	http://twitpic.com/67ykl - The stolen purse -- when it was new from the store...see tags still on it
18901	sadness	Some things are better left unsaid . Its better if only i know
18903	surprise	@Impala_Guy Just like me )))) No i must confess one dark side of me is that i can be sometimes stubborn + iï¿½m a little morning grouch
18904	sadness	says our power went out...which RARELY ever happens...and i hadn't saved my sims game in a while.  http://plurk.com/p/x334f
18905	neutral	my tv is so boring
18906	boredom	Just started feeling bad again  ugh. I hate it when I don't feel good!!
18908	worry	its weird how thinking about may 2nd totally changed my crappy mood to happiness...i miss @honorsociety so much
18909	sadness	Livin on ur own iznt nice at all. I miss my mum
18910	sadness	Oh my ex / room mate is moving out today
18913	hate	aww dude.. no fair. i thought that was the point of this thing
18914	neutral	Sports car + curb = flat tire.
18915	neutral	sitting in bed where I will be for the weekend.
18916	neutral	Crazy Legs is peepin @nina_parks at the pool hahaha She likes graf writers, not b-boys, sorry
18917	worry	to save my heart I think Imma let go! I can see myself getting hurt with you!
18918	sadness	@TomCopestake  I'm sorry. You'll get there don't worry, one day at a time.  We should 'hang' when you're done.
18919	worry	Waiting for the Denver game to come on.. but i dont think their gonna win it  Lakers suck lol :p.... Come on Denver!!
18921	love	Wow, its hot and miserable. People are probably killing themselves right about now...
18922	neutral	Headed to waterfront for a quick drink with the office peeps...Corsen Building of course was booked  Any suggestions?
18923	fun	@staaceeyy weeooow, i feel fat.... i remember when i used to weigh that much  pfffffffffffffffffffffftttttttt long time ago, hahaha
18925	neutral	Wow it's like a VPL fest in front of my office right now.
18926	sadness	I get an instant sad face when I see a little kid lose their balloon
18928	worry	i dont noe what to eat for breakfast hmmmmmmm im so hungry
18929	love	Kristen i miss you
18930	sadness	@davidmihm Please no more tweet-memes
18931	empty	@DeckEnt  there wasn't enough room for me...
18932	sadness	So tired and I have 17 hours to work tomorrow
18933	surprise	I'm so glad my concert is still a week away...I'm getting so sick and I need the time to recover!! My lungs hurt so bad right now
18934	sadness	chick fil a for dinner. Hopefully I feel better. My head and eyes are killing me
18936	worry	Restoring my iPod touch seemed like euthanasia to me. I was willingly killing it.
18938	worry	My mom has annoyed the living crap outta me, so now we're on AOL Radio, looking for Brooks &amp; Dunn.
18939	fun	Feeeel like ima die! Now on my way to rainforest.  !! I need a girls spa day ASAP!
18940	sadness	More depressed ty very much!!!
18941	sadness	headaches are dumb.
18942	worry	Golfing ended early
18943	worry	Hate to break every1's heart but confirmation jus came in that Austin &amp; Sophia do NOT &amp; never had a twitter  another sad day!!
18945	relief	Setting up bookmarks on my new Blackberry Curve. Now anyone from work can get ahold of me at anytime!
18946	worry	@vmarinelliRVA I am so so sorry to hear that he has parvo. Good vibes comming your way.
18947	relief	Sushi w/ @ryan888 well cooked veggie for preggo me  now onto Trolley Car birthday party on McKinney Ave. I actially feel awake for once!
18948	sadness	@donttreeriddle Oh noes!! Melted ice cream = do not want.
18949	neutral	@g1mm34d my bad. I thought you were talking about today
18950	worry	layenn down,uughh dunt feel well
18951	worry	It just occured to me..... tonight is Cheri's Prom Night......I was suppose to go with her...... 970 miles makes that kind of difficult.
18952	neutral	dreading this weekend, every minute of it is me doing coursework i should of done during the week AND learning 2 pages of french speaking
18954	sadness	missing someonee...
18955	neutral	There are ants on my lollipop
18956	sadness	My arms hurt
18957	sadness	OMG how sad is The Royle Family where Nana dies  I am sobbing!!!! :*( it's the saddest thing I've ever watched
18958	empty	i got peanut butter in my beard  it felt weird after... and axe body wash burnt my eyes... but now they're okay.
18959	sadness	@MyInnerCougar Sorry your day was so bad   Gettin the drink on, good plan!
18960	happiness	@Wonder33Woman Yes I did see Mitch Hedberg and the whole floss thing.  He's hilarious.  I &lt;3 him.  Poor guy
18961	sadness	Omnomnom    JUST came online to 69 unread emails, as well as my backlog from yesterday  http://tinyurl.com/lxjdjc
18962	sadness	[H]ouse starts on Sunday and I'm sad as I can't afford Sky,
18963	sadness	@RVDS dammit i wanted to ask you about someone who i might be shooting but cant remember her name now
18964	surprise	@FattKiddBep i made a vid for you proving my skiLLs that you denied but my step dad said he'd disown me if i posted it ~   sowey
18966	neutral	UP isnt im 3-D..
18969	sadness	@norasake Sadly no. It didn't come with one...
18970	empty	@WaylandSmalley Me neither. But it's no longer about what we want. It's about fairness. And fairness is whatever government says it is.
18972	worry	@framolamdu omg what a shame about Hollie,just watched that clip u posted
18973	worry	Suffering from  Hemorrhoids.
18974	sadness	@KSegIII  my cousins moved there like 2 years ago and I miss them so much. I was just looking at their facebook and now im sad
18975	happiness	@tarraxo I'm not sure.  Btw, YAY FOR WICKED TICKETS! That's awesome! When are you going?
18976	neutral	@irgxana  I know... kittie should be a professional....
18977	empty	@dahlhalla I'm only 6' 0&quot;
18978	hate	Just rang the irish one. Drunk. Must confiscate phone.  hate him lots.
18979	worry	also I managed to ink half more page. unfortunately page 006 will totally suck, but at least I tried hard before I decided to move on
18980	neutral	@RelientTU That would be SOOOOOO much and Geeky to the ultimate LEVEL! But I work 9 to 530am
18981	happiness	best show of my life. mcfly rocks my world  i wanna meet you guys ;;
18982	hate	@iamcheerbear I know  It fucking sucks. anyway you can get a fake id or something?
18984	worry	No waterfront anymore   faccia luna and clarendon will have to do
18985	sadness	Going to bed watching a bit of qi. Wake up tomorrow to face the start of my last summer in bath. Bit gutted atm to be home
18986	sadness	study study study.  What fun on a Saturday.
18987	sadness	Stupid shopping bags left a red mark on my arm
18988	neutral	@angellr Busy but fantastic. Tried to unplug for a few days.   Thank you for the FF!!
18989	worry	@dictums honey perhaps some medicine? i feel bad for you? do you have fever?
18990	neutral	Nursing sore back today
18991	neutral	Wife and kids have made it to San Antonio...almost to Corpus!  Praying for safety the rest of the way.  Guess I'll watch the game alone
18993	hate	I'm Twitter dumb. Just saw my &quot;@thecraftpantry.com&quot; &amp; all the kind folks who've tweeted me. AH!So sorry, I'm not ignoring you, just SLOW.
18994	worry	@sxtxixtxcxh @b0r3d13 but they're hungryyyyyy
18995	fun	did not get to go see UP!! Oh well ended up going to dinner with Blase and Bridget!
18998	worry	I ran over a turtle.
18999	sadness	not a very good day at the house
19000	sadness	really tired. and have to work the whole day tomorrow, the thought of it depresses me.  uncoooool....
19002	sadness	@AwkwardTown I know. I think I'm going to have to miss it, though.  This is when sacrificing money for job happiness sucks ass.
19003	worry	@mitchelmusso, i called your say naw and got a voicemail for a guy named shannon...
19004	worry	@BullyOSullivan sorry to hear that.
19005	sadness	Played a show tonight @ Chinnerys, southend. Snapped my guitar strap, ripped off the strings then threw my guitar across the stage...
19006	empty	i think that i'm the only 1 on!!!
19007	neutral	@plbrickner no I don't mind Kent it's just my best friend is going there and Im going to miss her
19009	enthusiasm	@dino2gnt Yeah, I'm getting ready to go get pizza. Then nothing to do  Maybe @hazard_2gnt will want to play Xbox.
19010	love	@firebird06 ya I just NEVER play it...I'm basically only using my PS3 these days
19012	neutral	got stood up, again
19013	worry	@anthonyamor hey member when we were better friends then you and anthony. That was pretty sweet ha. Way to be a trader for the weiner.
19014	neutral	@BADDESTnLA I'm in traffic on the 405 and I still don't see the sun
19015	neutral	tierd.i just want to talk
19016	hate	@KrissyJill fuck.  It's only in Canada right now.
19017	worry	I'm nervous... I hope I get in... this could be a costly mistake... more like procrastination and assumption...
19020	surprise	@xxiolla1@dougreport how can I read the Floyd article says it's private   - odd -it works for me...
19022	sadness	so bored...miss everybody already
19023	surprise	Eli in the ER  they pricked his finger for blood sugar and he was trying not to cry http://twitpic.com/67z2q
19024	worry	I miss Vermont
19025	sadness	@rodmcnasty000  I miss you
19026	neutral	@RobPattzNews  Youtube? outside the US can't see it
19027	sadness	@MyroneTadrid  aw her latest &quot; selenagomezLast day of shooting... Goodbye Canada. &quot;
19028	neutral	@hollymarie79 I have the twitter but I can't follow you
19029	neutral	@knitkat it stings
19030	sadness	It just had to rain on me almost a perfect day now my clothes are wet
19032	neutral	I wanna listen to the full Send It On
19033	worry	i dont feel very good
19034	worry	@alilje why do you say that i'm a dick? i find that hurtful!
19035	sadness	@bellagm yes that sucks. i miss you
19037	neutral	@calvinharris You should get tickets Scotland told! They aren't selling tickets for ANY of your scottish dates yet!
19038	worry	@dance2jeffreee lOL 518 that was not the year i was born  lol
19039	relief	Drew's new songs make me cry.  I miss Thomas already!
19040	worry	@juicystar007 I can't get in, I'm in a waiting room
19041	neutral	goodbyeeee Arizona. See you in 3 weeks.
19042	neutral	nothing to do on a friday night
19044	worry	@MissJizzle Yeah, the economy sucks SO BAD.  Yeah, I know what a cafeteria is. I'm unemployed at the moment and I hate it!
19045	sadness	Big Sam Houston is not big enough to overcome the challanges of moving-car-iphone photography  http://yfrog.com/0xhu5j
19046	empty	Boo Im lonely and bored
19047	neutral	@Impala_Guy Iï¿½m afraid yes - both are true  I hope u r not disappointed yet
19048	neutral	tried to whore out my twitter @ FFAF but LJ dies everytime i try
19049	worry	My friend has sent me such a sweet sms. I can't wait to see you, I'm actually missing you
19050	happiness	i have to be at work at 5 am  ... thanks to me ppl will be getting their freakin starbucks. peace out ppls!
19051	sadness	PLEASE PLEASE, ANYONE?
19054	surprise	Wow what a storm we just had!!! Now no power
19055	worry	UP is out today!!! Why why why why does my head hurt so badly??!?!??!!?   I want to see it!!!
19058	relief	@showtime757 I wanna go
19059	fun	wishing i could go to CaBo tonight
19060	sadness	@CSURyan I am surprised you haven't fired @StuckeyCSU for announcing the whole world of they body they'd found &quot;Selfish&quot;
19061	sadness	I don't like my dress
19062	worry	@nomadiquemc I want to be at @urbangrind
19064	fun	Oh, but Grease is on VH1! It's almost over, though  http://myloc.me/2215
19066	sadness	Just got home from school LOL 2 1/2 weeks left yay!!! Then off 2 summer school
19070	worry	the trip was really great. but i cant belive summers here
19072	surprise	Trying to figure out this thing...it's not going well
19073	love	i miss my puppies...
19074	neutral	Anyone want my chocolate nutella mochi? Its just gonna go to waste
19075	sadness	@RIngram08 glad u feel like cooking I'm so tired
19076	empty	@juandeleon1021 don't be mean....I'm having to give him to my brother this weekend
19078	neutral	Ouchhhhhh I burnt my frkn tongue
19079	happiness	Finally eating unagi I've been saving up for a while! +udon :] AGH I just realized the band playing at Bear Garden today is one I like!
19080	worry	Want: To play Sacred 2... Reality: Spend all day at the hosp...
19081	sadness	At my rehearsal...gonna miss the game  please keep me updated! Go Nuggets!
